house_code,title,district,community,housing_estate,size,orientation,house_type,floor,price
BJ2725902909668859904,整租·北京城建畅悦居 3室1厅 东南,昌平,沙河,北京城建畅悦居,104㎡,东南,3室1厅1卫,低楼层（21层）,5880
BJ2725508286077214720,整租·上北鑫座 1房间 南,昌平,回龙观,上北鑫座,40㎡,南,1房间1卫,中楼层（7层）,4300
BJ2725469473758265344,整租·融泽嘉园 1室1厅 南,昌平,回龙观,融泽嘉园,63㎡,南,1室1厅1卫,高楼层（34层）,6300
BJ2725933432332099584,整租·金明园 3室1厅 南/北,昌平,昌平其它,金明园,120㎡,南 北,3室1厅2卫,高楼层（2层）,4500
BJ2726135262676787200,整租·瑞光胡同 2室1厅 南/北,昌平,鼓楼大街,瑞光胡同,59㎡,南 北,2室1厅1卫,中楼层（6层）,3200
BJ2727316813951279104,整租·未来城市 3室2厅 南/北,昌平,小汤山,未来城市,95㎡,南 北,3室2厅1卫,高楼层（9层）,6500
BJ2726884312531345408,整租·紫金新干线二期 2室1厅 南/北,昌平,霍营,紫金新干线二期,92㎡,南 北,2室1厅1卫,中楼层（8层）,6200
BJ2726877299663446016,整租·TBD住总万科天地 2室1厅 南/北,昌平,回龙观,TBD住总万科天地,85㎡,南 北,2室1厅1卫,低楼层（12层）,6300
BJ2727341960271765504,整租·顶秀青溪 2室2厅 南/北,昌平,立水桥,顶秀青溪,140㎡,南 北,2室2厅2卫,低楼层（15层）,10500
BJ2727492740735565824,整租·北环里小区 2室1厅 南,昌平,鼓楼大街,北环里小区,56㎡,南,2室1厅1卫,中楼层（5层）,3200
BJ2727516336396967936,整租·路劲世界城一期 2室1厅 南,昌平,南邵,路劲世界城一期,87㎡,南,2室1厅1卫,低楼层（18层）,5000
BJ2727580057362513920,整租·天露园二区 3室1厅 南/北,昌平,回龙观,天露园二区,125㎡,南 北,3室1厅2卫,低楼层（6层）,7500
BJ2721091988714684416,整租·王府花园 4室2厅 东/北,昌平,北七家,王府花园,164㎡,东 北,4室2厅3卫,低楼层（3层）,9000
BJ2723878043117420544,整租·金隅万科城二期 3室1厅 南/北,昌平,鼓楼大街,金隅万科城二期,87㎡,南 北,3室1厅1卫,中楼层（28层）,5500
BJ2723977644617244672,整租·中东路121号院一区 2室1厅 南,昌平,奥林匹克公园,中东路121号院一区,73㎡,南,2室1厅1卫,中楼层（21层）,4600
BJ2725425485290422272,整租·温泉花园B区 2室1厅 南/北,昌平,北七家,温泉花园B区,82㎡,南 北,2室1厅1卫,中楼层（7层）,3700
BJ2725415766190202880,整租·望都家园 3室2厅 复式 南/北,昌平,北七家,望都家园,153㎡,南 北,3室2厅3卫,高楼层（7层）,5800
BJ2725358427101732864,整租·华龙苑南里 3室1厅 南/西/北,昌平,霍营,华龙苑南里,96㎡,南 西 北,3室1厅1卫,中楼层（6层）,7000
BJ2724439040739770368,整租·鼓楼南大街 2室1厅 西/北,昌平,鼓楼大街,鼓楼南大街,61㎡,西 北,2室1厅1卫,中楼层（5层）,3200
BJ2725461852531195904,整租·水屯家园 2室1厅 南/北,昌平,西关环岛,水屯家园,83㎡,南 北,2室1厅1卫,中楼层（6层）,3500
BJ2725987441017634816,整租·润枫欣尚 2房间 西南/西,昌平,立水桥,润枫欣尚,66㎡,西南 西,2房间1卫,中楼层（20层）,5500
BJ2725913740964012032,整租·望都新地二期 2室1厅 南/北,昌平,北七家,望都新地二期,89㎡,南 北,2室1厅1卫,低楼层（6层）,4500
BJ2726105358874443776,整租·中东路121号院二区 2室1厅 南/北,昌平,西三旗,中东路121号院二区,93㎡,南 北,2室1厅2卫,中楼层（22层）,5500
BJ2724510101007507456,整租·金隅万科城悦嘉公寓 4房间 南,昌平,鼓楼大街,金隅万科城悦嘉公寓,75㎡,南,4房间1卫,地下室（22层）,3800
BJ2724739991941939200,整租·东亚上北中心 4房间 北,昌平,回龙观,东亚上北中心,65㎡,北,4房间1卫,中楼层（21层）,5400
BJ2726069415266222080,整租·华润理想国 3室1厅 南/北,昌平,北七家,华润理想国,91㎡,南 北,3室1厅1卫,中楼层（18层）,5000
BJ2726038757579948032,整租·拓然家苑 2室1厅 南/北,昌平,南邵,拓然家苑,85㎡,南 北,2室1厅1卫,高楼层（6层）,3800
BJ2726106287493619712,整租·中东路121号院二区 2室1厅 南/北,昌平,西三旗,中东路121号院二区,93㎡,南 北,2室1厅2卫,高楼层（22层）,5500
BJ2726165111608975360,整租·溪城家园 2室1厅 南,昌平,立水桥,溪城家园,81㎡,南,2室1厅1卫,中楼层（15层）,6500
BJ2726631194916823040,整租·东辰小区 3室1厅 东/西,昌平,立水桥,东辰小区,83㎡,东 西,3室1厅1卫,中楼层（6层）,5600
BJ2726682821237686272,整租·融泽嘉园 2室1厅 南/北,昌平,回龙观,融泽嘉园,97㎡,南 北,2室1厅1卫,中楼层（25层）,7500
BJ2726743400727715840,整租·风雅园二区 3室2厅 南/北,昌平,回龙观,风雅园二区,120㎡,南 北,3室2厅2卫,中楼层（7层）,7200
BJ2716483510600220672,整租·农机厂宿舍 2室1厅 南/北,昌平,鼓楼大街,农机厂宿舍,51㎡,南 北,2室1厅1卫,中楼层（4层）,3100
BJ2716471063432404992,整租·中东路121号院二区 2室1厅 南,昌平,西三旗,中东路121号院二区,73㎡,南,2室1厅1卫,低楼层（28层）,4200
BJ2715808988452634624,整租·北街家园七区 2室1厅 南/北,昌平,沙河,北街家园七区,89㎡,南 北,2室1厅1卫,中楼层（17层）,4100
BJ2717580798441570304,整租·路劲世界城一期 2室1厅 东/西,昌平,南邵,路劲世界城一期,82㎡,东 西,2室1厅1卫,低楼层（23层）,4200
BJ2716674023110492160,整租·红石座 2房间 西南,昌平,东关,红石座,46㎡,西南,2房间0卫,低楼层（10层）,3500
BJ2723821924630134784,整租·上奥世纪中心 1房间 西,昌平,西三旗,上奥世纪中心,47㎡,西,1房间0卫,低楼层（23层）,4000
BJ2722487939522641920,整租·北京城建畅悦居 2室1厅 南/北,昌平,沙河,北京城建畅悦居,82㎡,南 北,2室1厅1卫,中楼层（21层）,4600
BJ2712292996027785216,整租·南关路1号 1房间 东,昌平,鼓楼大街,南关路1号,36㎡,东,1房间1卫,高楼层（4层）,2000
BJ2713823013945745408,整租·冠芳园 2室1厅 南/北,昌平,沙河,冠芳园,87㎡,南 北,2室1厅1卫,低楼层（4层）,5000
BJ2713180067559129088,整租·北街家园八区 1室0厅 东,昌平,沙河,北街家园八区,34㎡,东,1室0厅1卫,高楼层（17层）,2600
BJ2733129132777930752,整租·TBD住总万科天地 2室1厅 西,昌平,回龙观,TBD住总万科天地,89㎡,西,2室1厅1卫,中楼层（26层）,6300
BJ2733166403799752704,整租·地质勘查大院 2室1厅 南,昌平,立水桥,地质勘查大院,70㎡,南,2室1厅1卫,低楼层（6层）,5200
BJ2733142541674217472,整租·北街家园六区 1室0厅 西,昌平,沙河,北街家园六区,26㎡,西,1室0厅1卫,中楼层（18层）,2400
BJ2732706549570486272,整租·北店嘉园 3室1厅 南/北,昌平,回龙观,北店嘉园,78㎡,南 北,3室1厅1卫,高楼层（6层）,6300
BJ2733292899327279104,整租·交通队宿舍楼 3室2厅 南/北,昌平,东关,交通队宿舍楼,139㎡,南 北,3室2厅2卫,高楼层（6层）,5400
BJ2733254559018254336,整租·红石座 1房间 北,昌平,东关,红石座,50㎡,北,1房间0卫,低楼层（10层）,3500
BJ2733984217774948352,整租·铁佛庵 3室1厅 南/北,昌平,鼓楼大街,铁佛庵,95㎡,南 北,3室1厅1卫,低楼层（6层）,4000
BJ2734102218998554624,整租·中国铁建青秀尚城 2室1厅 南,昌平,南邵,中国铁建青秀尚城,77㎡,南,2室1厅1卫,低楼层（17层）,5500
BJ2734077723508219904,整租·天通苑北一区 2室1厅 西北,昌平,天通苑,天通苑北一区,84㎡,西北,2室1厅1卫,中楼层（18层）,6300
BJ2734012967967531008,整租·龙华园 3室1厅 南/北,昌平,回龙观,龙华园,101㎡,南 北,3室1厅1卫,高楼层（6层）,7500
BJ2733314582923198464,整租·冠雅苑 3室2厅 南/北,昌平,北七家,冠雅苑,90㎡,南 北,3室2厅1卫,高楼层（6层）,4000
BJ2733291526288310272,整租·龙湖滟澜新宸西区 3室2厅 南,昌平,昌平其它,龙湖滟澜新宸西区,125㎡,南,3室2厅2卫,中楼层（15层）,5800
BJ2733195405473873920,整租·燕城苑南区 3室1厅 南/北,昌平,北七家,燕城苑南区,107㎡,南 北,3室1厅1卫,低楼层（6层）,4200
BJ2733281220380336128,整租·建明里小区 2室2厅 南,昌平,西关环岛,建明里小区,92㎡,南,2室2厅1卫,中楼层（6层）,3700
BJ2733425958101975040,整租·红石座 1房间 北,昌平,东关,红石座,50㎡,北,1房间0卫,低楼层（10层）,3500
BJ2734132443865939968,整租·东亚上北中心 2房间 西,昌平,回龙观,东亚上北中心,52㎡,西,2房间1卫,低楼层（16层）,5200
BJ2733974042503036928,整租·龙跃苑二区 3室2厅 南/北,昌平,回龙观,龙跃苑二区,135㎡,南 北,3室2厅2卫,低楼层（6层）,8500
BJ2734069165475504128,整租·北亚花园 2室1厅 南/北,昌平,北七家,北亚花园,88㎡,南 北,2室1厅1卫,低楼层（6层）,3700
BJ2733977004998402048,整租·溪城家园 2室1厅 南,昌平,立水桥,溪城家园,80㎡,南,2室1厅1卫,高楼层（15层）,5600
BJ2733981775935045632,整租·融泽嘉园 3室0厅 南/北,昌平,回龙观,融泽嘉园,89㎡,南 北,3室0厅1卫,中楼层（34层）,7500
BJ2733972815601467392,整租·润枫欣尚 2房间 西,昌平,立水桥,润枫欣尚,61㎡,西,2房间1卫,高楼层（20层）,5500
BJ2734036035775504384,整租·矩阵四期 3房间 西,昌平,回龙观,矩阵四期,92㎡,西,3房间1卫,高楼层（9层）,7300
BJ2734155179325652992,整租·温泉花园B区 2室1厅 南/北,昌平,北七家,温泉花园B区,67㎡,南 北,2室1厅1卫,高楼层（4层）,2900
BJ2734578194153226240,整租·润枫欣尚 1房间 东,昌平,立水桥,润枫欣尚,63㎡,东,1房间1卫,中楼层（20层）,5300
BJ2734561557228306432,整租·长滩壹号 3室1厅 南/北,昌平,南邵,长滩壹号,92㎡,南 北,3室1厅1卫,低楼层（10层）,5800
BJ2734583860858716160,整租·TBD住总万科天地 2室1厅 东/西,昌平,回龙观,TBD住总万科天地,88㎡,东 西,2室1厅1卫,中楼层（19层）,6200
BJ2733870174900846592,整租·桥梁厂小区 2室1厅 南/北,昌平,昌平其它,桥梁厂小区,60㎡,南 北,2室1厅1卫,中楼层（6层）,2500
BJ2733430285046915072,整租·紫金新干线 2室1厅 南,昌平,霍营,紫金新干线,82㎡,南,2室1厅1卫,低楼层（10层）,5700
BJ2733916612146241536,整租·北亚花园 2室1厅 南/北,昌平,北七家,北亚花园,96㎡,南 北,2室1厅1卫,中楼层（7层）,3500
BJ2734014472984469504,整租·天通中苑二区 2房间 南,昌平,天通苑,天通中苑二区,92㎡,南,2房间1卫,低楼层（24层）,7000
BJ2529518103725867008,整租·东辰小区 3室1厅 东/西,昌平,立水桥,东辰小区,74㎡,东 西,3室1厅1卫,高楼层（6层）,6000
BJ2528149635801808896,整租·龙锦苑四区 4室2厅 南/北,昌平,回龙观,龙锦苑四区,169㎡,南 北,4室2厅2卫,高楼层（6层）,11000
BJ2533897263521210368,整租·南环里 1室1厅 东南,昌平,鼓楼大街,南环里,74㎡,东南,1室1厅1卫,中楼层（10层）,6000
BJ2541259680445890560,整租·北科建泰禾丽春湖院子 4室2厅 南,昌平,沙河,北科建泰禾丽春湖院子,180㎡,南,4室2厅3卫,中楼层（6层）,10000
BJ2536215417484222464,整租·龙山跃 3房间 东/西,昌平,南邵,龙山跃,58㎡,东 西,3房间2卫,低楼层（24层）,4000
BJ2540432738524610560,整租·石坊院 3室1厅 南/北,昌平,鼓楼大街,石坊院,182㎡,南 北,3室1厅2卫,低楼层（28层）,7000
BJ2548481120295993344,整租·琥珀天地 1房间 南,昌平,回龙观,琥珀天地,63㎡,南,1房间0卫,中楼层（5层）,5300
BJ2535600600842764288,整租·京科苑 3室2厅 南/北,昌平,东关,京科苑,176㎡,南 北,3室2厅2卫,低楼层（6层）,6500
BJ2551249391789023232,整租·昌盛园一区 3室2厅 南/北,昌平,东关,昌盛园一区,118㎡,南 北,3室2厅1卫,低楼层（6层）,5500
BJ2559215427989544960,整租·润枫欣尚 1房间 西,昌平,立水桥,润枫欣尚,58㎡,西,1房间1卫,中楼层（20层）,5300
BJ2564551798472056832,整租·望都新地 3室1厅 南/北,昌平,北七家,望都新地,137㎡,南 北,3室1厅2卫,低楼层（6层）,6000
BJ2563552188311797760,整租·东村家园 2室2厅 南/北,昌平,回龙观,东村家园,120㎡,南 北,2室2厅2卫,高楼层（8层）,8000
BJ2572263701927706624,整租·望都家园 3室2厅 南/北,昌平,北七家,望都家园,143㎡,南 北,3室2厅2卫,高楼层（6层）,5600
BJ2576628869079498752,整租·名流花园 4室2厅 南/北,昌平,北七家,名流花园,229㎡,南 北,4室2厅3卫,高楼层（6层）,7500
BJ2562393719927996416,整租·水屯家园 2室1厅 南/北,昌平,西关环岛,水屯家园,83㎡,南 北,2室1厅1卫,高楼层（6层）,2770
BJ2563832788063092736,整租·北科建泰禾丽春湖院子 4室3厅 南/北,昌平,沙河,北科建泰禾丽春湖院子,378㎡,南 北,4室3厅5卫,低楼层（3层）,30000
BJ2573823767461765120,整租·名流花园 3室1厅 复式 南/北,昌平,北七家,名流花园,146㎡,南 北,3室1厅2卫,中楼层（6层）,5800
BJ2575191944997109760,整租·蓬莱公寓东区 3室1厅 错层 南/北,昌平,北七家,蓬莱公寓东区,144㎡,南 北,3室1厅3卫,中楼层（5层）,5000
BJ2571769855229566976,整租·北京洋房 3室2厅 南/北,昌平,北七家,北京洋房,166㎡,南 北,3室2厅3卫,中楼层（5层）,6400
BJ2269462591703359488,整租·水晶屿 2房间 东,昌平,东关,水晶屿,53㎡,东,2房间1卫,低楼层（7层）,3500
BJ2269463972963434496,整租·水晶屿 2房间 东,昌平,东关,水晶屿,53㎡,东,2房间1卫,低楼层（7层）,3500
BJ2292514489565978624,整租·新龙大厦 1房间 西,昌平,西三旗,新龙大厦,74㎡,西,1房间1卫,中楼层（13层）,10000
BJ2293273160122384384,整租·新龙大厦 1房间 西,昌平,西三旗,新龙大厦,68㎡,西,1房间1卫,中楼层（13层）,10000
BJ2331692870064406528,整租·北街家园二区 3室2厅 跃层 南/北,昌平,沙河,北街家园二区,265㎡,南 北,3室2厅3卫,低楼层（3层）,13000
BJ2365113555004964864,整租·上奥世纪中心 1房间 南,昌平,西三旗,上奥世纪中心,154㎡,南,1房间0卫,中楼层（23层）,10800
BJ2385559568886808576,整租·果岭小镇 3室2厅 南/北,昌平,东关,果岭小镇,204㎡,南 北,3室2厅3卫,低楼层（1层）,13000
BJ2387733420336742400,整租·昌平佳莲时代广场 3房间 西,昌平,鼓楼大街,昌平佳莲时代广场,75㎡,西,3房间2卫,中楼层（8层）,5500
BJ2472432351653928960,整租·水晶屿 2房间 南,昌平,东关,水晶屿,50㎡,南,2房间1卫,高楼层（7层）,2600
BJ2480337708305104896,整租·华府9号 4房间 东南,昌平,回龙观,华府9号,98㎡,东南,4房间1卫,中楼层（5层）,13500
BJ2301883323707817984,整租·金色漫香苑 2室1厅 南/北,昌平,北七家,金色漫香苑,89㎡,南 北,2室1厅1卫,低楼层（8层）,4500
BJ2332311427631038464,整租·顶秀青溪 4室1厅 南/北,昌平,立水桥,顶秀青溪,155㎡,南 北,4室1厅2卫,中楼层（11层）,13000
BJ2355762219314323456,整租·首开国风美唐综合楼 1房间 东,昌平,回龙观,首开国风美唐综合楼,56㎡,东,1房间1卫,中楼层（17层）,5100
BJ2333312632121204736,整租·龙德紫金 1房间 西,昌平,天通苑,龙德紫金,52㎡,西,1房间1卫,中楼层（12层）,4300
BJ2383125503101386752,整租·红石座 4房间 南/北,昌平,东关,红石座,93㎡,南 北,4房间1卫,高楼层（13层）,6000
BJ2375834126671413248,整租·龙德紫金 1房间 北,昌平,天通苑,龙德紫金,57㎡,北,1房间1卫,高楼层（12层）,4500
BJ2410883419673468928,整租·滤纸厂宿舍楼 2室2厅 南/北,昌平,昌平其它,滤纸厂宿舍楼,59㎡,南 北,2室2厅1卫,低楼层（2层）,2000
BJ2463057369610067968,整租·上北鑫座 1房间 西,昌平,回龙观,上北鑫座,55㎡,西,1房间1卫,中楼层（7层）,5000
BJ2425828326028886016,整租·北科建泰禾丽春湖院子 4室4厅 复式 南/北,昌平,沙河,北科建泰禾丽春湖院子,200㎡,南 北,4室4厅5卫,低楼层（6层）,14000
BJ2473649502360174592,整租·紫晶七星广场 1房间 西,昌平,回龙观,紫晶七星广场,77㎡,西,1房间1卫,中楼层（5层）,6800
BJ2475164436722630656,整租·领秀慧谷A区 3室1厅 南/北,昌平,回龙观,领秀慧谷A区,90㎡,南 北,3室1厅1卫,高楼层（11层）,6500
BJ2470816688531046400,整租·京科苑 3室1厅 南/北,昌平,东关,京科苑,106㎡,南 北,3室1厅1卫,中楼层（6层）,4300
BJ2463057020308160512,整租·上北鑫座 2房间 西,昌平,回龙观,上北鑫座,67㎡,西,2房间1卫,中楼层（7层）,5000
BJ2454409000948088832,整租·上北鑫座 3房间 西,昌平,回龙观,上北鑫座,117㎡,西,3房间1卫,中楼层（7层）,8600
BJ2463064579853795328,整租·上北鑫座 1房间 西,昌平,回龙观,上北鑫座,57㎡,西,1房间1卫,中楼层（7层）,5000
BJ2471502116640784384,整租·东关北里小区 2室1厅 东/北,昌平,东关,东关北里小区,61㎡,东 北,2室1厅1卫,中楼层（6层）,2900
BJ2470757781905883136,整租·上北鑫座 2房间 北,昌平,回龙观,上北鑫座,72㎡,北,2房间1卫,中楼层（7层）,6100
BJ2490537461827518464,整租·天通苑北三区 5室2厅 南/北,昌平,天通苑,天通苑北三区,237㎡,南 北,5室2厅3卫,高楼层（7层）,12400
BJ2491093308232187904,整租·上奥世纪中心 1房间 南,昌平,西三旗,上奥世纪中心,100㎡,南,1房间0卫,中楼层（23层）,9200
BJ2639816121586556928,整租·天通苑本四区 3室1厅 南/西北,昌平,天通苑,天通苑本四区,136㎡,南 西北,3室1厅2卫,低楼层（6层）,10000
BJ2633977241532637184,整租·红石座 2房间 东南,昌平,东关,红石座,67㎡,东南,2房间1卫,低楼层（13层）,3300
BJ2633988374095986688,整租·新龙大厦 2房间 东,昌平,西三旗,新龙大厦,57㎡,东,2房间1卫,中楼层（13层）,9750
BJ2644784473031311360,整租·八仙别墅仙霞东里 4室2厅 南/北,昌平,北七家,八仙别墅仙霞东里,195㎡,南 北,4室2厅3卫,低楼层（2层）,13000
BJ2642597770434707456,整租·首开国风美唐二期 3室1厅 南/北,昌平,回龙观,首开国风美唐二期,93㎡,南 北,3室1厅1卫,高楼层（21层）,8000
BJ2641873630904467456,整租·名佳花园一区 2室1厅 南/北,昌平,北七家,名佳花园一区,85㎡,南 北,2室1厅1卫,低楼层（7层）,5000
BJ2646327271631634432,整租·北京洋房 3室2厅 复式 东/南/西,昌平,北七家,北京洋房,203㎡,东 南 西,3室2厅3卫,高楼层（5层）,8000
BJ2646354271230238720,整租·南关路1号 1房间 东,昌平,鼓楼大街,南关路1号,37㎡,东,1房间1卫,高楼层（4层）,2100
BJ2647597339103477760,整租·南厂住宅西区 2室1厅 南/北,昌平,南口,南厂住宅西区,54㎡,南 北,2室1厅1卫,高楼层（6层）,1800
BJ2652117776805658624,整租·领秀慧谷C区 3室1厅 南/北,昌平,回龙观,领秀慧谷C区,124㎡,南 北,3室1厅2卫,低楼层（8层）,6500
BJ2642689581173964800,整租·天通苑中苑 3室1厅 南/西,昌平,天通苑,天通苑中苑,138㎡,南 西,3室1厅2卫,高楼层（20层）,8500
BJ2652162949736562688,整租·矩阵一期 3室1厅 南/北,昌平,回龙观,矩阵一期,80㎡,南 北,3室1厅1卫,低楼层（6层）,6700
BJ2685526763748474880,整租·北京风景 3室1厅 南/北,昌平,东关,北京风景,153㎡,南 北,3室1厅2卫,地下室（8层）,5500
BJ2686914147060285440,整租·水晶屿 1房间 西,昌平,东关,水晶屿,54㎡,西,1房间1卫,中楼层（7层）,3600
BJ2683099581335740416,整租·华龙苑中里 1室0厅 北,昌平,霍营,华龙苑中里,38㎡,北,1室0厅1卫,高楼层（6层）,4000
BJ2683216771170967552,整租·东环路小区 2室1厅 南/北,昌平,东关,东环路小区,54㎡,南 北,2室1厅1卫,高楼层（6层）,2750
BJ2687547911746887680,整租·建明里小区 2室1厅 东/西,昌平,西关环岛,建明里小区,58㎡,东 西,2室1厅1卫,中楼层（5层）,2500
BJ2686334052067180544,整租·长滩壹号 2室2厅 南/西/北,昌平,南邵,长滩壹号,99㎡,南 西 北,2室2厅1卫,中楼层（9层）,6000
BJ2688507253291483136,整租·北京太阳城 2室1厅 南/北,昌平,北七家,北京太阳城,96㎡,南 北,2室1厅1卫,高楼层（5层）,4000
BJ2687510878198439936,整租·芦欣家园 2室1厅 南/北,昌平,西三旗,芦欣家园,95㎡,南 北,2室1厅1卫,低楼层（21层）,5000
BJ2684135168263847936,整租·红石座 2房间 东,昌平,东关,红石座,57㎡,东,2房间1卫,低楼层（13层）,10000
BJ2684823857328046080,整租·翡翠公园 4室2厅 跃层 南/北,昌平,北七家,翡翠公园,144㎡,南 北,4室2厅3卫,高楼层（2层）,16000
BJ2684829808247963648,整租·合立方 3室2厅 南/北,昌平,立水桥,合立方,136㎡,南 北,3室2厅2卫,高楼层（21层）,10000
BJ2684653505586659328,整租·中东路121号院一区 2室2厅 南/北,昌平,奥林匹克公园,中东路121号院一区,93㎡,南 北,2室2厅2卫,中楼层（28层）,5000
BJ2686215052909871104,整租·北街家园六区 3室1厅 南/北,昌平,沙河,北街家园六区,78㎡,南 北,3室1厅1卫,高楼层（6层）,4500
BJ2687628844860440576,整租·都市芳园锦湖园 2室2厅 南/北,昌平,天通苑,都市芳园锦湖园,94㎡,南 北,2室2厅1卫,中楼层（6层）,4800
BJ2688365062074408960,整租·温泉花园B区 1室1厅 南,昌平,北七家,温泉花园B区,50㎡,南,1室1厅1卫,中楼层（6层）,3500
BJ2688963992050728960,整租·桃园公寓 3室1厅 南/北,昌平,北七家,桃园公寓,140㎡,南 北,3室1厅2卫,中楼层（7层）,5000
BJ2689769107939147776,整租·华润理想国 3室1厅 南/北,昌平,北七家,华润理想国,91㎡,南 北,3室1厅1卫,中楼层（18层）,7000
BJ2689168542536318976,整租·温泉花园B区 2室1厅 南/北,昌平,北七家,温泉花园B区,93㎡,南 北,2室1厅1卫,高楼层（6层）,4300
BJ2647607267373367296,整租·名佳花园一区 3室1厅 南/北,昌平,北七家,名佳花园一区,113㎡,南 北,3室1厅2卫,中楼层（7层）,5500
BJ2668885056558473216,整租·保利垄上五区 4室2厅 南/北,昌平,小汤山,保利垄上五区,372㎡,南 北,4室2厅3卫,低楼层（2层）,12000
BJ2668197723110645760,整租·中东路121号院二区 2室1厅 南/北,昌平,西三旗,中东路121号院二区,90㎡,南 北,2室1厅1卫,低楼层（22层）,5300
BJ2696249018211631104,整租·中东路121号院一区 2室1厅 南/北,昌平,奥林匹克公园,中东路121号院一区,73㎡,南 北,2室1厅1卫,低楼层（18层）,4800
BJ2690388203441504256,整租·中东路121号院二区 2室1厅 南/北,昌平,西三旗,中东路121号院二区,73㎡,南 北,2室1厅1卫,高楼层（21层）,4000
BJ2691358154788716544,整租·华润理想国 3室2厅 南/北,昌平,北七家,华润理想国,90㎡,南 北,3室2厅1卫,中楼层（18层）,6000
BJ2701419022330626048,整租·华润理想国 3室1厅 南/北,昌平,北七家,华润理想国,91㎡,南 北,3室1厅1卫,低楼层（18层）,5500
BJ2698372552887648256,整租·上奥世纪中心 1房间 西,昌平,西三旗,上奥世纪中心,47㎡,西,1房间0卫,高楼层（23层）,4200
BJ2681275451816542208,整租·美树假日嘉园 3室2厅 南/西/北,昌平,北七家,美树假日嘉园,174㎡,南 西 北,3室2厅3卫,中楼层（4层）,10000
BJ2677599383528415232,整租·溪城家园 2室1厅 南,昌平,立水桥,溪城家园,80㎡,南,2室1厅1卫,高楼层（15层）,5700
BJ2681814581982543872,整租·国仕汇 2室1厅 南,昌平,回龙观,国仕汇,75㎡,南,2室1厅1卫,中楼层（21层）,5300
BJ2686963369709412352,整租·首开国风美唐三期 2室1厅 南,昌平,回龙观,首开国风美唐三期,92㎡,南,2室1厅1卫,高楼层（21层）,8000
BJ2676669552158310400,整租·北亚花园 3室1厅 东/西,昌平,北七家,北亚花园,88㎡,东 西,3室1厅1卫,中楼层（7层）,3800
BJ2678090782271356928,整租·金隅万科城二期 3室1厅 南/北,昌平,鼓楼大街,金隅万科城二期,122㎡,南 北,3室1厅2卫,中楼层（28层）,6900
BJ2678025881028395008,整租·中东路121号院二区 2室1厅 南/北,昌平,西三旗,中东路121号院二区,73㎡,南 北,2室1厅1卫,低楼层（21层）,4750
